Period,Stock Price,S.F. Portfolio Value,"""d1""",Stocks held,Cash Account $ Position
0,50.00000000000000000000,310815.12162064400000000000,0.10833333333333300000,54313.43589859990000000000,-2404856.67330935000000000000
1,49.50722616378410000000,283810.38376280900000000000,0.04054507586701690000,51617.07143893070000000000,-2271607.64587653000000000000
2,48.00582062582240000000,206085.05472803000000000000,-0.17078889530639100000,43219.48805225610000000000,-1868701.93624845000000000000
3,47.76545465200410000000,195509.68085697400000000000,-0.20934642364408000000,41708.89068676030000000000,-1796734.44582687000000000000
4,47.94616193769890000000,202867.09885376700000000000,-0.18762300955526900000,42558.60937742210000000000,-1837654.87819939000000000000
5,48.67526496245170000000,233712.93500371600000000000,-0.08592267274015250000,46576.39439598350000000000,-2033405.40321643000000000000
6,48.87909561025880000000,243003.28093828100000000000,-0.05950569139173430000,47627.46662185760000000000,-2084984.21374591000000000000
7,49.27943349176900000000,261861.85118073200000000000,-0.00389047685438188000,49844.79282071760000000000,-2194461.30153883000000000000
8,50.19045424610500000000,307052.03483315600000000000,0.12694352033679700000,55050.74494989490000000000,-2455969.86078854000000000000
9,49.96124157642060000000,294188.09734873800000000000,0.09239092347473970000,53680.62746986960000000000,-2387762.69964726000000000000
10,50.84341736073220000000,341305.05878013000000000000,0.22157686980185500000,58767.83549256040000000000,-2646652.52855497000000000000
11,51.47276944263410000000,378026.03990968200000000000,0.31481010675874500000,62354.70812250370000000000,-2831543.47494269000000000000
12,52.02105906523820000000,411931.31078808100000000000,0.39746744814252400000,65448.86068170350000000000,-2992787.73648737000000000000
13,52.69796643664690000000,455934.83329573700000000000,0.50047601340349800000,69163.00291402030000000000,-3188814.77292501000000000000
14,51.72848256384520000000,388563.51995416300000000000,0.35893953594545100000,64017.98388371870000000000,-2922989.64314731000000000000
15,52.55250257164590000000,441023.30595365500000000000,0.48737210254675600000,68700.26701429310000000000,-3169347.65298774000000000000
16,50.92520104489490000000,328910.30594053200000000000,0.23756287296966500000,59388.99253753970000000000,-2695486.07888744000000000000
17,50.18899055986150000000,284917.94485305200000000000,0.11896944958165500000,54735.02202247950000000000,-2462177.55872698000000000000
18,51.96906461002180000000,382104.10712305300000000000,0.40854687314647700000,65856.38873306980000000000,-3040390.81392856000000000000
19,52.98092920718610000000,448437.80109528300000000000,0.57559858697322800000,71755.67318130640000000000,-3353244.43993750000000000000
20,52.11163750116640000000,385725.84832813700000000000,0.43993034450346800000,67000.62212678280000000000,-3105786.28429540000000000000
21,51.12044347919300000000,319004.63804969300000000000,0.27650053314799300000,60891.81748948870000000000,-2793812.07626705000000000000
22,50.34330575581200000000,271403.91445622700000000000,0.14202842078536500000,55647.12216491100000000000,-2530056.17112291000000000000
23,51.90138090628440000000,357853.29442886300000000000,0.41820402784841600000,66210.10244406220000000000,-3078542.45236452000000000000
24,51.18309714223270000000,309987.78318863100000000000,0.29432705050303300000,61574.59978541230000000000,-2841590.93912223000000000000
25,50.46946113783490000000,265761.75852303300000000000,0.16471268037798100000,56541.49320945010000000000,-2587856.93568646000000000000
26,51.07328362555710000000,299643.98497900700000000000,0.27942338259972900000,61004.00356479770000000000,-2816030.79138040000000000000
27,51.53025060303540000000,327239.18294232600000000000,0.36979445352027600000,64423.21758935570000000000,-2992505.36409105000000000000
28,52.34830075292060000000,379641.34024795100000000000,0.53313710335678600000,70303.06616957260000000000,-3300604.71144931000000000000
29,53.12771676647660000000,434106.59884788600000000000,0.69437288918877800000,75627.58044806060000000000,-3583814.07493060000000000000
30,52.56039142656000000000,390842.75673595600000000000,0.59492789711102800000,72405.41656478560000000000,-3414814.27931231000000000000
31,53.60430062157880000000,466085.93835452800000000000,0.81955662366429100000,79376.55450657690000000000,-3788838.75172115000000000000
32,54.26026846154560000000,517775.50253822100000000000,0.97354721642558400000,83485.92973083760000000000,-4012193.45741876000000000000
33,55.72188371649210000000,639398.57159882300000000000,1.30195951757989000000,90353.48876279980000000000,-4395268.02262128000000000000
34,54.81961529576450000000,557435.92320625000000000000,1.14580841276434000000,87406.27832654610000000000,-4234142.62908952000000000000
35,54.38539043060140000000,519058.50835116900000000000,1.08263515151015000000,86051.48008285770000000000,-4160884.83308616000000000000
36,54.53339761297480000000,531378.63616886600000000000,1.15077972259071000000,87508.85655376210000000000,-4240776.63293422000000000000
37,54.09993332774620000000,493022.57334374000000000000,1.08563287265999000000,86117.92749391610000000000,-4165951.56240081000000000000
38,53.15321737152710000000,411076.74128203600000000000,0.88529500916751400000,81200.12294741700000000000,-3904971.04433675000000000000
39,53.37166296690400000000,428424.03385401700000000000,0.97833464614310700000,83604.55801368300000000000,-4033690.25894924000000000000
40,53.74195123908370000000,458978.43199223600000000000,1.12430848460468000000,86955.89099062320000000000,-4214200.82157691000000000000
41,52.51496827328220000000,351863.59381678100000000000,0.81710483847888000000,79306.57409392280000000000,-3812918.62858828000000000000
42,50.81361171425200000000,216553.52287978900000000000,0.31235433993023800000,62261.43764922090000000000,-2947174.99459884000000000000
43,51.17826050204160000000,238962.34840878800000000000,0.45553497175286600000,67563.77930161890000000000,-3218834.34919191000000000000
44,52.25628305963130000000,311475.72704231700000000000,0.88694719444776300000,81244.63344885690000000000,-3934066.83553714000000000000
45,52.65133301476380000000,343177.98948650200000000000,1.12352671033450000000,86939.30684693470000000000,-4234292.40738420000000000000
46,52.43377334553750000000,323840.05223320900000000000,1.15088482326949000000,87511.01888658610000000000,-4264692.87730310000000000000
47,51.44821448277330000000,237166.30136810300000000000,0.80364362703606700000,78919.85901734840000000000,-3823119.53230666000000000000
48,51.42942572074960000000,235301.16384861800000000000,0.96124960218430100000,83178.66592319550000000000,-4042529.85679941000000000000
49,53.57082143608990000000,413015.32946527000000000000,3.26714154418770000000,99945.68032586630000000000,-4941156.86458024000000000000
50,54.40787270351600000000,496180.84746273200000000000,,,
